ID	HMsrDay	HMsrDate	LfCountH	MaxLfLgthH	MaxLfWdthH	BoltedH	BoltCountH	MaxBoltHtH	FlrHeadCount	HarvestDay	HarvestDate	CrownDiam.mmH	ShootMass.gH	RootMass.gH
RO002.13.d	86	9-Dec-09	13	19.5	5.2	n				86	9-Dec-09	9.32	2.657	1.954
UA003.9A.b	86	9-Dec-09	15	30.1	8.4	n				86	9-Dec-09	7.84	3.861	1.035
US015.3.d	86	9-Dec-09	15	21.2	7.5	n				86	9-Dec-09	6.97	2.911	1.194
CA001.6.c	86	9-Dec-09	35	27.7	7.4	n				86	9-Dec-09	7.19	3.184	1.751
GR002.8.h	86	9-Dec-09	4	13.3	1.9	y	6	24	174	86	9-Dec-09	7.47	4.076	0.504
RO004.21.i	86	9-Dec-09	0			y	1	56	182	86	9-Dec-09	8.95	6.31	0.924
RU001.2.i	86	9-Dec-09	26	28.4	7.7	n				86	9-Dec-09	10.65	4.652	2.988
TR004.14.d	86	9-Dec-09	1	13.5	2.5	n				86	9-Dec-09	5.76	2.412	0.405
RO005.23.g	86	9-Dec-09	15	29.4	4.6	n				86	9-Dec-09	8.64	3.387	1.54
TR003.24.g	86	9-Dec-09	8	29.2	3.7	n				86	9-Dec-09	3.13	0.521	0.048
HU001.28.h	86	9-Dec-09	24	26.7	8.2	n				86	9-Dec-09	8.51	4.432	1.264
RO003.9.g	86	9-Dec-09	16	28.8	5.6	n				86	9-Dec-09	10.27	3.386	0.95
GR003.9.a	86	9-Dec-09	16	30.1	8.4	n				86	9-Dec-09	9.32	3.513	1.726
US002.17.d	86	9-Dec-09	10	28	5.9	n				86	9-Dec-09	7.46	2.453	0.817
US021.8.g	86	9-Dec-09	16	26.1	5.8	n				86	9-Dec-09	8.45	3.408	1.5
BG001.25.a	86	9-Dec-09	0			n				86	9-Dec-09	7.58	1.872	0.433
RU004.7.c	86	9-Dec-09	19	28.9	7	n				86	9-Dec-09	8.47	2.738	0.848
US022.42.a	86	9-Dec-09	25	26.7	4.7	n				86	9-Dec-09	6.7	3.527	1.704
US014.16.e	86	9-Dec-09	13	29.8	5.9	n				86	9-Dec-09	8.03	1.577	0.833
GR001.24.e	86	9-Dec-09	0			n				86	9-Dec-09	6.92	3.183	1.511
UA005.7.a	86	9-Dec-09	23	24.7	5.3	n				86	9-Dec-09	9.62	3.363	1.728
TR001.19.f	86	9-Dec-09	4	18.9	4.2	n				86	9-Dec-09	8.48	2.154	0.519
UA004.27.e	86	9-Dec-09	10	20.5	8.2	n				86	9-Dec-09	8.68	2.338	0.766
RO001.21.f	86	9-Dec-09	15	28.8	6.6	n				86	9-Dec-09	6.83	2.5	2.471
US001.23.c	86	9-Dec-09	13	29.8	6.7	n				86	9-Dec-09	8.68	3.188	2.271
CA008.5.g	86	9-Dec-09	26	23.4	4.8	n				86	9-Dec-09	9.43	2.744	2.979
RO001.6.c	86	9-Dec-09	15	24.6	7.7	n				86	9-Dec-09	8.15	2.94	1.166
RU004.6.a	86	9-Dec-09	18	30	5.8	n				86	9-Dec-09	7.06	3.878	1.849
UA004.18.h	86	9-Dec-09	18	31.1	7.2	n				86	9-Dec-09	8.12	3.581	1.65
CA001.2.a	86	9-Dec-09	10	27.8	5.9	n				86	9-Dec-09	8.54	4.148	2.103
US002.22.i	86	9-Dec-09	0			y	1	48.5	134	86	9-Dec-09	8.32	4.284	0.696
US020.24.f	86	9-Dec-09	3	23.4	4.9	y	1	38	0	86	9-Dec-09	7.59	3.219	0.739
GR003.9.h	86	9-Dec-09	17	27.9	5.5	n				86	9-Dec-09	7.05	4.58	1.355
GR001.6.e	86	9-Dec-09	13	27.2	7.9	n				86	9-Dec-09	7.55	4.036	1.407
US026.15.c	86	9-Dec-09	23	24.1	6.3	n				86	9-Dec-09	7.16	3.749	1.616
RU001.10.h	86	9-Dec-09	17	25.1	6.3	n				86	9-Dec-09	7.25	4.251	5.035
TR005.9.d	86	9-Dec-09	9	25.5	5	y	1	8.5	0	86	9-Dec-09	4.42	0.457	0.084
US003.20.j	86	9-Dec-09	30	34.9	6.5	n				86	9-Dec-09	9.53	4.132	1.904
UA001.18.e	86	9-Dec-09	0			y	1	38	0	86	9-Dec-09	6.73	3.391	0.789
US023.41.c	86	9-Dec-09	18	28.6	5.1	n				86	9-Dec-09	7.42	3.29	1.962
RO005.23.d	86	9-Dec-09	18	31.2	7.9	n				86	9-Dec-09	7.12	3.698	1.846
US019.6.c	86	9-Dec-09	9	33.5	7.9	n				86	9-Dec-09	7.34	3.272	1.444
UA008.25.b	86	9-Dec-09	13	25.8	5.2	n				86	9-Dec-09	6.27	1.991	0.726
HU001.24.h	86	9-Dec-09	13	21.6	5.7	y	1	44.5	7	86	9-Dec-09	9.16	5.746	4.165
BG001.22.h	86	9-Dec-09	15	29.7	4.6	n				86	9-Dec-09	7.76	2.679	1.026
UA002.18.d	86	9-Dec-09	9	31.5	6.8	n				86	9-Dec-09	9.08	3.856	1.894
RO003.21.j	86	9-Dec-09	15	29.5	4.5	n				86	9-Dec-09	8.6	3.19	2.216
GR002.17.d	86	9-Dec-09	0			y	1	34.7	55	86	9-Dec-09	8.82	3.058	0.718
US015.13.j	86	9-Dec-09	10	23.3	4	n				86	9-Dec-09	6.83	2.833	0.974
CA008.4.h	86	9-Dec-09	13	22.5	6.2	n				86	9-Dec-09	7.32	1.979	0.626
RO002.12.a	86	9-Dec-09	15	20.1	5.1	n				86	9-Dec-09	8.28	2.683	1.623
RU008.19.d	86	9-Dec-09	17	23.7	4.2	n				86	9-Dec-09	7.6	2.929	1.432
US001.20.c	86	9-Dec-09	12	25.7	5.6	n				86	9-Dec-09	7.7	1.978	1.22
RO004.3.e	86	9-Dec-09	0			y	1	37.5	58	86	9-Dec-09	7.31	4.14	0.859
US012.29.c	86	9-Dec-09	13	26.7	4.2	n				86	9-Dec-09	7.6	2.602	0.926
US018.31.b	86	9-Dec-09	9	26.5	5.2	n				86	9-Dec-09	6.77	2.266	0.793
TR001.10.j	86	9-Dec-09	8	25.1	1.8	n				86	9-Dec-09	7.41	1.586	0.747
RU005.5.b	86	9-Dec-09	12	17.9	4.4	n				86	9-Dec-09	6.37	1.788	1.029
UA003.9A.j	86	9-Dec-09	8	24.2	4.3	n				86	9-Dec-09	4.97	1.697	0.597
US001.14.c	85	8-Dec-09	17	23.9	3.7	n				85	8-Dec-09	10.28	4.185	2.252
RO001.28.b	85	8-Dec-09	13	28.8	6.7	n				85	8-Dec-09	8.47	2.733	1.181
US022.23.b	85	8-Dec-09	14	29.6	4.5	n				85	8-Dec-09	6.96	2.595	0.899
RO002.15.f	85	8-Dec-09	16	26.2	5.4	n				85	8-Dec-09	8.57	2.991	1.099
US014.22.a	85	8-Dec-09	19	23.2	5.7	n				85	8-Dec-09	7.04	4.15	1.454
RO004.13.e	85	8-Dec-09	15	37.7	5.2	n				85	8-Dec-09	7.57	2.415	1.062
RU005.7.c	85	8-Dec-09	0			y	1	20.5	0	85	8-Dec-09	8.7	3.882	0.738
US012.35.h	85	8-Dec-09	10	5.2	4.7	n				85	8-Dec-09	6.98	2.81	0.985
TR001.24.d	85	8-Dec-09	14	35.3	3.9	n				85	8-Dec-09	8.44	1.985	1.645
RO003.9.m	85	8-Dec-09	21	26.5	4.1	n				85	8-Dec-09	12.21	2.861	1.288
GR003.10.a	85	8-Dec-09	11	26.4	6.1	n				85	8-Dec-09	7.58	2.494	1.063
UA002.15.d	85	8-Dec-09	25	30.3	7.6	n				85	8-Dec-09	7.62	4.92	3.726
TR003.15.h	85	8-Dec-09	3	25.9	3.2	n				85	8-Dec-09	2.92	0.201	0.034
US015.3.g	85	8-Dec-09	16	24.2	4.6	n				85	8-Dec-09	9.23	2.372	0.974
CA001.4.f	85	8-Dec-09	27	29.4	4.8	n				85	8-Dec-09	9.54	5.299	2.577
RO005.25.l	85	8-Dec-09	14	28.6	6.5	n				85	8-Dec-09	7.46	3.109	0.675
CA007.4.b	85	8-Dec-09	21	21.2	6.4	n				85	8-Dec-09	8.56	4.057	4.615
RU003.1.e	85	8-Dec-09	21	25.4	9.3	n				85	8-Dec-09	6.48	4.089	1.853
RU001.6.h	85	8-Dec-09	23	28.7	8.5	y	1	7.5	0	85	8-Dec-09	10.04	4.039	1.898
BG001.29.d	85	8-Dec-09	41	32	6.6	y	1	4.5	0	85	8-Dec-09	9.17	2.591	1.173
RU008.17.c	85	8-Dec-09	17	28	5.2	n				85	8-Dec-09	6.69	3.068	5.331
UA003.8.i	85	8-Dec-09	16	35.2	6.1	n				85	8-Dec-09	7.23	3.952	2.27
RU004.5.b	85	8-Dec-09	20	29.7	6.6	n				85	8-Dec-09	7.7	3.569	2.517
US023.34.b	85	8-Dec-09	18	25.8	6.2	n				85	8-Dec-09	7.34	3.65	1.613
UA005.7.b	85	8-Dec-09	22	25.4	4.9	n				85	8-Dec-09	11.01	4.728	1.926
HU001.28.g	85	8-Dec-09	2	19	5.1	y	1	41.5	35	85	8-Dec-09	9.18	4.817	1.123
UA004.27.c	85	8-Dec-09	22	26.7	4.9	n				85	8-Dec-09	8.93	3.622	1.702
CA008.6.h	85	8-Dec-09	17	24.7	5.9	n				85	8-Dec-09	8.22	3.799	1.643
US003.20.b	85	8-Dec-09	16	19.8	4.1	n				85	8-Dec-09	9.32	2.108	0.856
GR002.8.b	85	8-Dec-09	3	3.9	1	y	3	35	95	85	8-Dec-09	7.77	3.111	0.504
US002.22.o	85	8-Dec-09	24	23.5	4.5	n				85	8-Dec-09	8.89	4.278	2.367
GR003.12.j	86	9-Dec-09	0			y	1	26	80	85	9-Dec-09	6.73	3.73	0.804
UA006.22.a	86	9-Dec-09	0			y	1	46.5	0	85	9-Dec-09	8.42	5.255	1.483
TR001.1.d	86	9-Dec-09	14	27.7	7.3	y	1	3.5	0	85	9-Dec-09	9.04	3.634	2.1
RO004.13.a	86	9-Dec-09	17	22.8	4.1	n				85	9-Dec-09	8.7	2.852	0.917
UA001.25.c	86	9-Dec-09	3	4	0.4	y	1	38.5	25	85	9-Dec-09	7.14	3.458	0.806
BG001.16.b	86	9-Dec-09	16	21.2	5.3	n				85	9-Dec-09	7.14	2.944	1.373
TR005.18.h	86	9-Dec-09	11	22.7	4.1	n				85	9-Dec-09	5.94	1.068	8.752
UA005.18.d	86	9-Dec-09	18	33.8	4.8	n				85	9-Dec-09	8.42	3.529	1.864
US011.8.k	86	9-Dec-09	25	25.6	6.1	y	1	7	0	85	9-Dec-09	4.95	2.819	0.856
UA003.9A.d	86	9-Dec-09	15	28.6	8.7	n				85	9-Dec-09	6.98	3.817	4.593
RO003.21.b	86	9-Dec-09	23	23.6	5.8	n				85	9-Dec-09	10.3	3.681	6.001
US014.4.d	86	9-Dec-09	22	23.1	4.4	n				85	9-Dec-09	5.66	3.748	2.36
RO001.12.a	86	9-Dec-09	11	25.9	4.9	n				85	9-Dec-09	7.29	2.7	1.227
US015.15.e	86	9-Dec-09	14	29.9	5.9	n				85	9-Dec-09	6.12	2.912	1.38
TR004.27.b	86	9-Dec-09	11	22.1	4.2	n				85	9-Dec-09	4.43	1.344	1.833
US001.20.j	86	9-Dec-09	10	24.6	3.7	n				85	9-Dec-09	6.04	1.174	2.544
GR001.28.b	86	9-Dec-09	10	18.2	3.6	n				85	9-Dec-09	3.15	0.566	0.862
UA004.27.h	86	9-Dec-09	13	19.7	4.4	n				85	9-Dec-09	6.16	1.496	2.155
CA001.7.i	86	9-Dec-09	19	23.8	6.4	n				85	9-Dec-09	10.31	4.127	2.063
US002.5.c	86	9-Dec-09	17	33	5.7	n				85	9-Dec-09	8.18	2.684	1.333
US023.34.k	86	9-Dec-09	22	28.1	5.4	n				85	9-Dec-09	7.92	3.693	2.666
RU001.9.d	86	9-Dec-09	13	27.8	6.2	n				85	9-Dec-09	8.06	2.459	1.147
RU008.18.d	86	9-Dec-09	13	32.6	8.2	n				85	9-Dec-09	9.75	3.056	2.273
TR003.14.b	86	9-Dec-09	10	19.1	3.1	y	2	24	13	85	9-Dec-09	8.79	0.997	0.311
HU001.5.a	86	9-Dec-09	14	24	7.2	n				85	9-Dec-09	4.56	1.039	1.19
RU005.11.a	86	9-Dec-09	64	24.7	3.6	n				85	9-Dec-09	12.97	6.371	10.266
GR002.17.f	86	9-Dec-09	16	40.4	5.9	n				85	9-Dec-09	7.97	1.527	0.832
US012.28.b	86	9-Dec-09	13	29.9	6.6	n				85	9-Dec-09	6.04	1.881	1.069
US003.19.a	86	9-Dec-09	18	24.5	6.4	n				85	9-Dec-09	8.04	3.135	4.002
RO005.14.e	86	9-Dec-09	11	20.2	6	y	1	35	0	85	9-Dec-09	8.88	3.522	1.906
CA008.2.b	86	9-Dec-09	17	27.7	7.1	n				85	9-Dec-09	6.33	1.891	0.792
US022.17.a	86	9-Dec-09	12	27.2	5.4	n				85	9-Dec-09	7.72	2.827	2.123
RO002.15.c	86	9-Dec-09	23	26.3	5.1	n				85	9-Dec-09	6.72	2.153	1.486
RU002.1.d	86	9-Dec-09	21	27.2	6.7	n				85	9-Dec-09	8.37	3.321	3.131
UA005.15.c	85	8-Dec-09	24	22.4	5.1	n				85	8-Dec-09	8	4.518	4.757
UA001.18.f	85	8-Dec-09	17	21.6	5.3	n				85	8-Dec-09	8.01	3.607	2.689
US003.27.j	85	8-Dec-09	18	30.5	9.8	n				85	8-Dec-09	7.91	3.465	2.331
GR002.8.j	85	8-Dec-09	8	25.9	4.6	y	1	25	0	85	8-Dec-09	9.12	2.921	1.108
UA004.5.e	85	8-Dec-09	19	26	6.7	n				85	8-Dec-09	7.53	3.343	2.735
RO004.20.g	85	8-Dec-09	0			y	1	29.2	86	85	8-Dec-09	5.72	2.505	0.542
CA001.2.b	85	8-Dec-09	27	20.9	5.6	n				85	8-Dec-09	7.71	4.212	6.41
RU008.18.f	85	8-Dec-09	18	31.1	8.8	n				85	8-Dec-09	9.1	3.746	2.537
HU001.28.e	85	8-Dec-09	29	29.5	6.3	n				85	8-Dec-09	6.99	4.974	6.697
TR001.12.g	85	8-Dec-09	17	31.7	6.7	y	1	19	0	85	8-Dec-09	9.31	2.687	2.23
CA007.2.d	85	8-Dec-09	15	22.4	6.5	n				85	8-Dec-09	8.59	4.132	4.682
US001.22.a	85	8-Dec-09	20	31.2	4.6	n				85	8-Dec-09	9.24	4.812	5.235
UA002.15.j	85	8-Dec-09	19	34.5	7	n				85	8-Dec-09	9.37	4.141	3.924
BG001.17.d	85	8-Dec-09	17	19.8	3.3	n				85	8-Dec-09	6.26	1.658	2.325
RO002.15.b	85	8-Dec-09	1	13.8	1.5	y	1	41.5	6	85	8-Dec-09	7.9	1.288	0.646
RU001.7.c	85	8-Dec-09	14	24.5	5.1	n				85	8-Dec-09	6.21	3.172	1.67
RO005.15.h	85	8-Dec-09	25	21.2	4.5	n				85	8-Dec-09	9.75	3.833	3.301
US002.17.a	85	8-Dec-09	17	27	5.4	n				85	8-Dec-09	8.16	3.789	4.244
RO001.12.e	85	8-Dec-09	17	25.4	6.2	n				85	8-Dec-09	7.6	2.628	2.176
UA008.18.a	85	8-Dec-09	13	28.5	4.8	n				85	8-Dec-09	6.71	2.952	2.276
UA003.7A.i	85	8-Dec-09	4	25.5	5	y	1	64.5	20	85	8-Dec-09	6.35	5.286	1.601
GR003.10.e	85	8-Dec-09	0			y	1	42.5	63	85	8-Dec-09	9.39	4.814	2.785
US015.15.d	85	8-Dec-09	17	25.7	5.6	n				85	8-Dec-09	8.51	3.349	2.544
CA008.5.i	85	8-Dec-09	13	23.6	5.7	n				85	8-Dec-09	9.72	2.785	1.935
US022.41.a	85	8-Dec-09	6	22.8	3.4	n				85	8-Dec-09	7.34	1.925	1.857
US013.23.b	85	8-Dec-09	8	20	4.6	n				85	8-Dec-09	5.45	2.44	1.422
TR005.9.f	85	8-Dec-09	6	23	5.1	y	1	5	0	85	8-Dec-09	4.25	0.7	0.429
US026.15.d	85	8-Dec-09	13	21.8	6.3	n				85	8-Dec-09	7.84	2.262	0.888
US018.11.c	85	8-Dec-09	12	19	5.1	n				85	8-Dec-09	8.88	1.531	0.851
RO003.11.h	85	8-Dec-09	8	21.9	4.3	y	1	21.5	0	85	8-Dec-09	5.76	3.158	1.135
US014.16.m	85	8-Dec-09	10	24	5.3	n				85	8-Dec-09	6.92	3.458	1.835
UA006.10.b	85	8-Dec-09	17	23	6.2	n				85	8-Dec-09	9.33	3.301	3.022
RU001.10.f	85	8-Dec-09	12	29.8	6.2	n				85	8-Dec-09	5.56	3.636	0.842
US001.3.c	85	8-Dec-09	7	25.5	5.4	n				85	8-Dec-09	3.72	1.382	0.199
UA002.13.a	85	8-Dec-09	19	29.1	7.9	n				85	8-Dec-09	9.84	3.421	1.87
US002.1.c	85	8-Dec-09	11	24	5.4	n				85	8-Dec-09	5.58	1.217	1.602
CA001.6.i	85	8-Dec-09	15	24	7.3	n				85	8-Dec-09	9.47	4.55	4.419
CA008.6.f	85	8-Dec-09	8	30.2	7	n				85	8-Dec-09	8.08	2.936	0.746
US017.36.e	85	8-Dec-09	27	21.2	5.7	y	1	5	0	85	8-Dec-09	7.25	2.2	0.96
RO002.22.d	85	8-Dec-09	26	25.5	6.3	n				85	8-Dec-09	7.04	2.611	2.143
UA005.18.h	85	8-Dec-09	13	27.9	5.7	n				85	8-Dec-09	8.69	4.003	4.138
RU008.18.h	85	8-Dec-09	15	24.1	9.2	n				85	8-Dec-09	7.38	4.146	2.941
TR004.18.d	85	8-Dec-09	16	33.7	6.3	y	1	27.5	0	85	8-Dec-09	8.46	1.98	0.749
US021.8.c	85	8-Dec-09	23	24.4	6.4	n				85	8-Dec-09	8.78	5.376	3.451
UA003.11A.b	85	8-Dec-09	15	34.2	6.5	n				85	8-Dec-09	7.63	2.596	1.254
UA001.11.h	85	8-Dec-09	18	26.8	6.2	n				85	8-Dec-09	9.19	3.348	3.145
GR002.25.d	85	8-Dec-09	17	28.3	5.5	n				85	8-Dec-09	9.82	3.527	3.037
US014.16.j	85	8-Dec-09	12	26.1	6.2	n				85	8-Dec-09	8.72	3.675	4.231
GR003.10.g	85	8-Dec-09	1	17.5	1.5	y	1	34.5	130	85	8-Dec-09	12.41	4.401	0.782
US020.24.c	85	8-Dec-09	24	27.1	6.2	n				85	8-Dec-09	7.12	4.042	2.887
US015.17.k	85	8-Dec-09	12	29.6	6.6	n				85	8-Dec-09	8.24	3.543	3.113
TR001.12.d	85	8-Dec-09	11	37.4	5.1	n				85	8-Dec-09	7.36	2.15	1.139
US003.6.h	85	8-Dec-09	18	33.2	6.9	n				85	8-Dec-09	7.22	2.485	2.914
RO005.17.i	85	8-Dec-09	29	21.6	4.6	n				85	8-Dec-09	7.44	3.202	3.047
RO003.21.d	85	8-Dec-09	14	23.5	5.9	n				85	8-Dec-09	7.84	2.423	1.991
US023.12.a	85	8-Dec-09	14	19.5	5.5	n				85	8-Dec-09	6.6	2.018	3.27
BG001.16.j	85	8-Dec-09	11	27.1	4.2	n				85	8-Dec-09	7.09	1.918	1.705
HU001.24.j	85	8-Dec-09	8	19	4.7	y	1	39	0	85	8-Dec-09	7.94	2.8	1.263
RO004.13.m	85	8-Dec-09	7	30.6	7.2	n				85	8-Dec-09	8.66	1.988	1.43
US022.23.d	85	8-Dec-09	13	34.7	4.4	n				85	8-Dec-09	9.75	2.708	3.369
US026.3.b	85	8-Dec-09	12	32	4.7	n				85	8-Dec-09	8.11	2.725	1.733
UA004.15.d	85	8-Dec-09	15	28.6	5.1	y	1	4	0	85	8-Dec-09	8.68	2.115	1.707
RO004.13.c	85	8-Dec-09	12	26.6	5.1	n				85	8-Dec-09	8.31	2.915	1.67
GR001.24.d	85	8-Dec-09	17	28.6	6.5	n				85	8-Dec-09	9.52	2.774	1.397
US021.8.j	85	8-Dec-09	27	27.2	5.3	n				85	8-Dec-09	8.42	3.693	1.944
TR005.20.d	85	8-Dec-09	24	26.6	3.5	n				85	8-Dec-09	6.23	1.163	0.394
UA005.3.e	85	8-Dec-09	17	26.4	6.2	n				85	8-Dec-09	11.04	3.2	1.622
RO002.15.h	85	8-Dec-09	1	17.5	2.7	y	1	41.5	0	85	8-Dec-09	4.32	1.213	0.243
US014.17.f	85	8-Dec-09	24	22	4.4	n				85	8-Dec-09	10.23	4.552	3.778
CA008.5.c	85	8-Dec-09	13	25.2	6.3	n				85	8-Dec-09	8.25	2.821	2.102
US001.20.i	85	8-Dec-09	14	29.3	5.2	n				85	8-Dec-09	7.85	2.974	2.29
US002.24.g	85	8-Dec-09	19	32.5	6.5	n				85	8-Dec-09	8.29	4.124	1.741
RU008.16.a	85	8-Dec-09	20	21.5	7.2	n				85	8-Dec-09	9.58	4.128	3.478
CA001.7.d	85	8-Dec-09	18	29	6.2	n				85	8-Dec-09	8.49	4.249	5.928
US012.28.c	85	8-Dec-09	16	30.6	7.1	n				85	8-Dec-09	8.13	2.851	2.959
HU001.5.d	85	8-Dec-09	23	27.5	6.8	n				85	8-Dec-09	9.26	3.8	1.565
US003.28.a	85	8-Dec-09	15	38.6	5	n				85	8-Dec-09	7.74	2.869	1.144
RO005.23.c	85	8-Dec-09	18	29	5.1	n				85	8-Dec-09	10.94	3.558	1.749
US020.42.f	85	8-Dec-09	11	31.5	6.2	n				85	8-Dec-09	9.01	2.663	1.456
RU003.1.a	85	8-Dec-09	10	29.8	7.7	n				85	8-Dec-09	7.16	2.63	2.209
UA003.6.d	85	8-Dec-09	16	29.5	7.5	n				85	8-Dec-09	7.8	3.503	1.431
UA001.11.c	85	8-Dec-09	16	30.6	8.8	n				85	8-Dec-09	9.06	2.986	1.358
TR001.24.c	85	8-Dec-09	16	27.5	5.4	n				85	8-Dec-09	8.06	3.546	2.291
RU004.9.a	85	8-Dec-09	15	31.2	6.6	n				85	8-Dec-09	7.37	3.712	1.42
RO003.21.g	85	8-Dec-09	19	26.5	6.9	n				85	8-Dec-09	8.34	3.764	2.044
GR003.17.h	85	8-Dec-09	20	27.8	4.9	y	1	14	0	85	8-Dec-09	9.72	4.13	2.907
US015.15.j	85	8-Dec-09	10	20.5	6.2	n				85	8-Dec-09	7.57	2.347	0.659
RO001.28.f	85	8-Dec-09	18	29.6	6.1	n				85	8-Dec-09	8.53	2.563	1.409
US022.31.a	85	8-Dec-09	12	31.5	5.2	n				85	8-Dec-09	6.66	2.405	4.066
BG001.29.e	85	8-Dec-09	1	17	3.3	y	1	33.5	2	85	8-Dec-09	6.5	2.369	1.052
UA002.15.f	85	8-Dec-09	16	30.3	6.8	n				85	8-Dec-09	7.42	3.802	1.848
UA004.15.f	85	8-Dec-09	19	25.1	4.5	n				85	8-Dec-09	9.17	2.686	1.811
TR003.2.b	85	8-Dec-09	25	24	5.8	n				85	8-Dec-09	4.1	1.715	0.385
TR004.18.a	85	8-Dec-09	12	17.9	3.1	y	2	36.5	0	85	8-Dec-09	9.71	2.6	0.555
US021.1.a	85	8-Dec-09	17	21.7	7	n				85	8-Dec-09	8.06	3.838	1.973
RO001.28.a	85	8-Dec-09	15	23.2	2.8	n				85	8-Dec-09	8.92	2.516	2.125
UA002.18.c	85	8-Dec-09	17	29.3	5.1	n				85	8-Dec-09	8.89	3.229	2.442
US014.16.i	85	8-Dec-09	15	23.7	6	n				85	8-Dec-09	6.66	3.613	2.28
RU008.16.b	85	8-Dec-09	0			y	1	39.5	57	85	8-Dec-09	9.07	6.048	2.353
US011.8.c	85	8-Dec-09	23	21.4	6.6	n				85	8-Dec-09	9.61	4.529	4.905
US003.27.g	85	8-Dec-09	13	25.9	6.1	n				85	8-Dec-09	7.33	3.039	2.545
CA001.4.a	85	8-Dec-09	32	25.5	5.5	n				85	8-Dec-09	8.39	3.988	3.236
RU003.4.b	85	8-Dec-09	31	26.4	7.5	n				85	8-Dec-09	9.73	5.974	3.359
