Round	defense	TrayID	InvPop	InvMI	InvMom	InvIndiv	InvRem	InvEat	NatPop	NatMI	NatMom	NatIndiv	NatRem	NatEat	MostEat	EatDiffI.N	InvEat.arsq	NatEat.arsq	MostEat.Scan	EatenRatioI.N	Eatenlog	eat.bin
const. 1 1-29	1	const.	1-29	US015	17a	17	a	0.898	0.102	RO003	9d	9	d	0.836	0.164		-0.062	18.62484138181	23.8888679582878	inv	0.621951219512195	-0.474893614539928	0
const. 1 1-30	1	const.	1-30	US015	17a	17	a	0.831	0.169	RU002	lf	l	f	0.497	0.503	nat	-0.334	24.2733781980628	45.1712738031835	inv	0.335984095427435	-1.09069145517667	0
const. 1 1-31	1	const.	1-31	US018	11a	11	a	0.548	0.452	TR005	9b	9	b	0.842	0.158	inv	0.294	42.2449859105948	23.4211746092813	nat	2.86075949367089	1.05108714680526	1
const. 1 1-32	1	const.	1-32	US018	11a	11	a	0.696	0.304	RO004	13h	13	h	0.73	0.27		0.034	33.4600434619235	31.3060203222851	nat	1.12592592592593	0.118605742407847	1
const. 1 2-1	1	const.	2-1	US018	11a	11	a	1	0	TR004	14i	14	i	0.699	0.301	nat	-0.301	0	33.2729432035122	inv	0	-Inf	0
const. 1 2-2	1	const.	2-2	US022	42c	42	c	0.972	0.028	GR002	8a	8	a	0.977	0.023		0.005	9.63260122870171	8.72287517594834	nat	1.21739130434783	0.196710294246054	1
const. 1 2-3	1	const.	2-3	US022	42c	42	c	0.757	0.243	RO005	15i	15	i	0.842	0.158		0.085	29.5342796820297	23.4211746092813	nat	1.5379746835443	0.430466410313582	1
const. 1 2-4	1	const.	2-4	US022	42c	42	c	0.937	0.063	HU001	14d	14	d	0.913	0.087		-0.024	14.5363792339354	17.154762949028	inv	0.724137931034483	-0.322773392263051	0
const. 1 2-5	1	const.	2-5	CA007	4a	4	a	0.842	0.158	RO001	13d	13	d	1	0	inv	0.158	23.4211746092813	0	nat	Inf	Inf	1
const. 1 2-6	1	const.	2-6	CA007	4a	4	a	1	0	BG001	17j	17	j	0.972	0.028	nat	-0.028	0	9.63260122870171	inv	0	-Inf	0
const. 1 2-7	1	const.	2-7	CA007	4a	4	a	0.959	0.041	GR002	13c	13	c	1	0	inv	0.041	11.6821285613877	0	nat	Inf	Inf	1
const. 1 2-8	1	const.	2-8	US011	8g	8	g	1	0	HU001	14h	14	h	1	0	nat	0	0	0	tie	NA	NA	2
const. 1 2-9	1	const.	2-9	US011	8g	8	g	1	0	RO004	13b	13	b	1	0	inv	0	0	0	tie	NA	NA	2
const. 1 2-10	1	const.	2-10	US011	8g	8	g	1	0	TR004	18g	18	g	1	0		0	0	0	tie	NA	NA	2
const. 1 2-11	1	const.	2-11	US021	8d	8	d	1	0	TR001	24f	24	f	1	0		0	0	0	tie	NA	NA	2
const. 1 2-12	1	const.	2-12	US021	8d	8	d	1	0	RO005	15c	15	c	1	0		0	0	0	tie	NA	NA	2
const. 1 2-13	1	const.	2-13	US021	8d	8	d	0.942	0.058	GR003	10b	10	b	1	0	inv	0.058	13.9354548705177	0	nat	Inf	Inf	1
const. 1 2-14	1	const.	2-14	US023	34a	34	a	0.764	0.236	RO002	12o	12	o	0.861	0.139	inv	0.097	29.0643934606774	21.8897762026108	nat	1.6978417266187	0.529357871894918	1
const. 1 2-15	1	const.	2-15	US023	34a	34	a	1	0	UA004	18b	18	b	1	0		0	0	0	tie	NA	NA	2
const. 1 2-16	1	const.	2-16	US023	34a	34	a	1	0	RU003	3b	3	b	0.708	0.292	nat	-0.292	0	32.7084014718764	inv	0	-Inf	0
const. 2 2-17	2	const.	2-17			NA		1	0					1	0		0	0	0	tie	NA	NA	2
const. 2 2-18	2	const.	2-18	CA007	2a	2	a	1	0	TR003	2f	2	f	0.754	0.246	nat	-0.246	0	29.73424428868	inv	0	-Inf	0
const. 2 2-19	2	const.	2-19	CA007	2a	2	a	1	0	RO001	21d	21	d	1	0		0	0	0	tie	NA	NA	2
const. 2 2-20	2	const.	2-20	CA007	2a	2	a	0.996	0.004	UA001	22c	22	c	0.941	0.059	nat	-0.055	3.62607409886713	14.0575230449886	inv	0.0677966101694915	-2.69124308278583	0
const. 2 2-21	2	const.	2-21	US012	21f	21	f	1	0	RO002	22f	22	f	1	0		0	0	0	tie	NA	NA	2
const. 2 2-22	2	const.	2-22	US012	21f	21	f	1	0	RO005	25f	25	f	1	0	nat	0	0	0	tie	NA	NA	2
const. 2 2-23	2	const.	2-23	US012	21f	21	f	0.876	0.124	UA005	3b	3	b	1	0	inv	0.124	20.6177583272902	0	nat	Inf	Inf	1
const. 2 2-24	2	const.	2-24	US018	31g	31	g	1	0	RO004	20d	20	d	1	0		0	0	0	tie	NA	NA	2
const. 2 2-25	2	const.	2-25	US018	31g	31	g	0.825	0.175	TR004	2b	2	b	1	0	inv	0.175	24.7288626207672	0	nat	Inf	Inf	1
const. 2 2-26	2	const.	2-26	US018	31g	31	g	1	0	GR001	26c	26	c	1	0		0	0	0	tie	NA	NA	2
const. 2 2-27	2	const.	2-27	US022	42k	42	k	1	0	GR002	2j	2	j	0.88	0.12	nat	-0.12	0	20.2676253094487	inv	0	-Inf	0
const. 2 2-28	2	const.	2-28	US022	42k	42	k	1	0	RU005	11e	11	e	0.813	0.187	nat	-0.187	0	25.6218401627924	inv	0	-Inf	0
const. 2 2-29	2	const.	2-29	US022	42k	42	k	1	0	RO005	25f	25	f	1	0		0	0	0	tie	NA	NA	2
const. 2 2-30	2	const.	2-30	US026	24c	24	c	1	0	RU005	11e	11	e	1	0	nat	0	0	0	tie	NA	NA	2
const. 2 2-31	2	const.	2-31	US026	24c	24	c	1	0	UA001	22c	22	c	1	0	inv	0	0	0	tie	NA	NA	2
const. 2 2-32	2	const.	2-32	US026	24c	24	c	1	0	UA004	5a	5	a	1	0		0	0	0	tie	NA	NA	2
const. 2 3-1	2	const.	3-1	CA001	3j	3	j	0.894	0.106	TR004	18g	18	g	0.977	0.023		0.083	19.000241876877	8.72287517594834	nat	4.60869565217391	1.52794487818292	1
const. 2 3-2	2	const.	3-2	CA001	3j	3	j	0.81	0.19	UA004	18b	18	b	0.64	0.36	nat	-0.17	25.8415811818669	36.8693960283112	inv	0.527777777777778	-0.63907995928967	0
const. 2 3-3	2	const.	3-3	CA001	3j	3	j	0.897	0.103	TR003	24b	24	b	0.827	0.173	nat	-0.07	18.7192928638987	24.5777315717648	inv	0.595375722543353	-0.518562606268143	0
const. 2 3-4	2	const.	3-4	CA008	2d	2	d	0.882	0.118	GR003	10b	10	b	0.812	0.188	nat	-0.07	20.0906719356869	25.6952365620491	inv	0.627659574468085	-0.465757338364285	0
const. 2 3-5	2	const.	3-5	CA008	2d	2	d	0.756	0.244	TR005	18a	18	a	0.827	0.173	inv	0.071	29.6010268713601	24.5777315717648	nat	1.41040462427746	0.343876630795423	1
const. 2 3-6	2	const.	3-6	CA008	2d	2	d	0.721	0.279	BG001	25h	25	h	0.913	0.087	inv	0.192	31.8837868180922	17.154762949028	nat	3.20689655172414	1.16530366316678	1
const. 2 3-7	2	const.	3-7	US001	14a	14	a	0.874	0.126	RU003	3b	3	b	0.806	0.194	nat	-0.068	20.7910034054145	26.1325160104167	inv	0.649484536082474	-0.43157625211185	0
const. 2 3-8	2	const.	3-8	US001	14a	14	a	0.819	0.181	RO001	6j	6	j	0.785	0.215		-0.034	25.1782345990861	27.6245112846399	inv	0.841860465116279	-0.172140996861837	0
const. 2 3-9	2	const.	3-9	US001	14a	14	a	0.898	0.102	UA004	18b	18	b	0.694	0.306	nat	-0.204	18.62484138181	33.584487738394	inv	0.333333333333333	-1.09861228866811	0
const. 2 3-10	2	const.	3-10	US002	17c	17	c	0.859	0.141	GR003	10b	10	b	0.799	0.201	inv	-0.06	22.0548986142352	26.6362415650106	inv	0.701492537313433	-0.354545017680908	0
const. 2 3-11	2	const.	3-11	US002	17c	17	c	0.827	0.173	UA005	18e	18	e	0.888	0.112	inv	0.061	24.5777315717648	19.5518418966634	nat	1.54464285714286	0.434792723202684	1
const. 2 3-12	2	const.	3-12	US002	17c	17	c	0.726	0.274	UA006	22b	22	b	0.838	0.162	inv	0.112	31.563533341934	23.733750011336	nat	1.69135802469136	0.525531771155686	1
const. 2 3-13	2	const.	3-13	US003	19e	19	e	0.887	0.113	RU008	18c	18	c	0.913	0.087	nat	0.026	19.6425043120103	17.154762949028	nat	1.29885057471264	0.261479700057757	1
const. 2 3-14	2	const.	3-14	US003	19e	19	e	0.672	0.328	HU001	14h	14	h	0.792	0.208	inv	0.12	34.9391426417326	27.1334428574046	nat	1.57692307692308	0.455475528682826	1
const. 2 3-15	2	const.	3-15	US003	19e	19	e	0.902	0.098	RO004	13b	13	b	0.855	0.145	nat	-0.047	18.2428567925696	22.3822378196123	inv	0.675862068965517	-0.391766263750002	0
const. 2 3-16	2	const.	3-16	US011	8g	8	g	0.865	0.135	HU001	14h	14	h	0.717	0.283	nat	-0.148	21.5565096911392	32.1387230532235	inv	0.477031802120141	-0.740172119204808	0
const. 2 3-17	2	const.	3-17	US011	8g	8	g	0.901	0.099	RO004	13b	13	b	0.798	0.202	inv	-0.103	18.3389930167637	26.7076602816624	inv	0.49009900990099	-0.713147847266615	0
const. 2 3-18	2	const.	3-18	US011	8g	8	g	0.873	0.127	TR004	18g	18	g	0.888	0.112		0.015	20.8771842596796	19.5518418966634	nat	1.13392857142857	0.125688215163497	1
const. 2 3-19	2	const.	3-19	US014	16c	16	c	0.851	0.149	RO002	12o	12	o	0.856	0.144	inv	0.005	22.7058484131324	22.3007592506081	nat	1.03472222222222	0.0341330063694586	1
const. 2 3-20	2	const.	3-20	US014	16c	16	c	0.814	0.186	RU008	18c	18	c	0.861	0.139	nat	0.047	25.5482924989434	21.8897762026108	nat	1.33812949640288	0.291272740582509	1
const. 2 3-21	2	const.	3-21	US014	16c	16	c	0.755	0.245	GR003	10b	10	b	0.88	0.12	inv	0.125	29.6676814924366	20.2676253094487	nat	2.04166666666667	0.713766467762681	1
const. 2 3-22	2	const.	3-22	US015	3a	3	a	0.907	0.093	RU008	18c	18	c	0.897	0.103	nat	-0.01	17.7554565192381	18.7192928638987	inv	0.902912621359223	-0.10212949507638	0
const. 2 3-23	2	const.	3-23	US015	3a	3	a	0.763	0.237	RO003	9f	9	f	0.705	0.295	nat	-0.058	29.1318100613889	32.8971350253617	inv	0.803389830508475	-0.218915215204689	0
const. 2 3-24	2	const.	3-24	US015	3a	3	a	0.883	0.117	GR003	10b	10	b	0.684	0.316	nat	-0.199	20.0017085400814	34.2033722186157	inv	0.370253164556962	-0.993568278789156	0
const. 2 3-25	2	const.	3-25	US020	42b	42	b	0.777	0.223	RO004	13b	13	b	0.908	0.092	inv	0.131	28.1786841939581	17.6565798018647	nat	2.42391304347826	0.885383194411078	1
const. 2 3-26	2	const.	3-26	US020	42b	42	b	0.822	0.178	TR004	18g	18	g	0.716	0.284	nat	-0.106	24.9542903659578	32.2022857405043	inv	0.626760563380282	-0.467190687869121	0
const. 2 3-27	2	const.	3-27	US020	42b	42	b	0.829	0.171	RU001	2a	2	a	0.821	0.179	nat	-0.008	24.4259080742222	25.029101152072	inv	0.955307262569833	-0.045722249338095	0
const. 2 3-28	2	const.	3-28	US021	8d	8	d	0.821	0.179	TR001	24f	24	f	0.688	0.312	nat	-0.133	25.029101152072	33.9564717982634	inv	0.573717948717949	-0.555617381968727	0
const. 2 3-29	2	const.	3-29	US021	8d	8	d	0.891	0.109	RO005	15c	15	c	0.784	0.216		-0.107	19.2777077107244	27.6941846643338	inv	0.50462962962963	-0.683930525455021	0
const. 2 3-30	2	const.	3-30	US021	8d	8	d	0.493	0.507	GR003	10b	10	b	0.78	0.22	inv	0.287	45.4004658744692	27.9717205663264	nat	2.30454545454545	0.834883457238822	1
const. 2 3-31	2	const.	3-31	US023	34a	34	a	0.732	0.268	RO002	12o	12	o	0.808	0.192	inv	0.076	31.1768143575739	25.9873374083281	nat	1.39583333333333	0.333491608483075	1
const. 2 3-32	2	const.	3-32	US023	34a	34	a	0.823	0.177	UA004	18b	18	b	0.537	0.463	nat	-0.286	24.8793147599137	42.8775332128272	inv	0.382289416846652	-0.961577321512405	0
induced 1 4-1	1	induced	4-1	CA001	2c	2	c	0.591	0.409	TR004	2b	2	b	0.929	0.071	inv	0.338	39.7563211696497	15.4534101348467	nat	5.76056338028169	1.75103527900149	1
induced 1 4-2	1	induced	4-2	CA001	2c	2	c	0.76	0.24	UA004	5a	5	a	0.888	0.112	inv	0.128	29.3334751617947	19.5518418966634	nat	2.14285714285714	0.762140052046897	1
induced 1 4-3	1	induced	4-3	CA001	2c	2	c	0.973	0.027	HU001	14k	14	k	0.666	0.334	nat	-0.307	9.45741772806211	35.3044134814276	inv	0.0808383233532934	-2.51530412697237	0
induced 1 4-4	1	induced	4-4	CA007	2a	2	a	0.632	0.368	TR003	2f	2	f	0.844	0.156	inv	0.212	37.3457213476798	23.2636838359206	nat	2.35897435897436	0.858226930919394	1
induced 1 4-5	1	induced	4-5	CA007	2a	2	a	0.355	0.645	RO001	21d	21	d	0.834	0.166	inv	0.479	53.4282511062708	24.043227444065	nat	3.8855421686747	1.35726252843923	1
induced 1 4-6	1	induced	4-6	CA007	2a	2	a	0.93	0.07	UA001	22c	22	c	0.587	0.413	nat	-0.343	15.3414998294714	39.9892211621344	inv	0.169491525423729	-1.77495235091167	0
induced 1 4-7	1	induced	4-7	CA008	5a	5	a	0.751	0.249	GR003	3g	3	g	0.93	0.07	inv	0.179	29.9333890569561	15.3414998294714	nat	3.55714285714286	1.26895765441535	1
induced 1 4-8	1	induced	4-8	CA008	5a	5	a	1	0	TR001	10h	10	h	0.687	0.313	nat	-0.313	0	34.0182770659259	inv	0	-Inf	0
induced 1 4-9	1	induced	4-9	CA008	5a	5	a	0.757	0.243	BG001	25e	25	e	0.932	0.068	inv	0.175	29.5342796820297	15.1154374781804	nat	3.57352941176471	1.27355373816444	1
induced 1 4-10	1	induced	4-10	US001	3i	3	i	0.996	0.004	RO001	21d	21	d	0.965	0.035		-0.031	3.62607409886713	10.7824458096971	inv	0.114285714285714	-2.16905370036952	0
induced 1 4-11	1	induced	4-11	US001	3i	3	i	1	0	TR001	10h	10	h	0.713	0.287	nat	-0.287	0	32.3925710007618	inv	0	-Inf	0
induced 1 4-12	1	induced	4-12	US001	3i	3	i	0.841	0.159	UA004	5a	5	a	0.884	0.116	nat	0.043	23.4996160435974	19.9124147169122	nat	1.37068965517241	0.315314011113867	1
induced 1 4-13	1	induced	4-13	US002	24b	24	b	0.941	0.059	TR001	10h	10	h	0.715	0.285	nat	-0.226	14.0575230449886	32.2657809445879	inv	0.207017543859649	-1.57495173636293	0
induced 1 4-14	1	induced	4-14	US002	24b	24	b	0.258	0.742	GR003	3g	3	g	1	0	inv	0.742	59.4726788022373	0	nat	Inf	Inf	1
induced 1 4-15	1	induced	4-15	US002	24b	24	b	0.635	0.365	UA005	3b	3	b	0.864	0.136	nat	0.229	37.1673609028924	21.6402115806128	nat	2.68382352941176	0.987242467846439	1
induced 1 4-16	1	induced	4-16	US003	6i	6	i	0.555	0.445	RU008	21d	21	d	1	0	inv	0.445	41.8417729473328	0	nat	Inf	Inf	1
induced 1 4-17	1	induced	4-17	US003	6i	6	i	0.872	0.128	HU001	14k	14	k	0.934	0.066	inv	0.062	20.9630756611846	14.8862715341972	nat	1.93939393939394	0.662375521893192	1
induced 1 4-18	1	induced	4-18	US003	6i	6	i	0.922	0.078	RO004	20d	20	d	0.679	0.321	nat	-0.243	16.2173033968934	34.510820533624	inv	0.242990654205607	-1.41473229644042	0
induced 1 4-19	1	induced	4-19	US011	8b	8	b	1	0	RU005	11e	11	e	1	0		0	0	0	tie	NA	NA	2
induced 1 4-20	1	induced	4-20	US011	8b	8	b	0.796	0.204	HU001	14k	14	k	0.904	0.096	inv	0.108	26.8501031542212	18.0492625645472	nat	2.125	0.75377180237638	1
induced 1 4-21	1	induced	4-21	US011	8b	8	b	0.834	0.166	RO004	20d	20	d	0.993	0.007	inv	0.159	24.043227444065	4.79925389664716	nat	23.7142857142857	3.16607763930123	1
induced 1 4-22	1	induced	4-22	US012	31f	31	f	0.794	0.206	RO002	22f	22	f	1	0		0.206	26.9920276580242	0	nat	Inf	Inf	1
induced 1 4-23	1	induced	4-23	US012	31f	31	f	0.747	0.253	RO005	25f	25	f	0.607	0.393	nat	-0.14	30.1976737521131	38.8210387677585	inv	0.643765903307888	-0.440420123141741	0
induced 1 4-24	1	induced	4-24	US012	31f	31	f	0.66	0.34	UA003	9Aa	9A	a	0.952	0.048	inv	0.292	35.6680522845839	12.6553603983388	nat	7.08333333333333	1.95774460670232	1
induced 1 4-25	1	induced	4-25	US014	17c	17	c	1	0	RO002	22f	22	f	0.676	0.324	nat	-0.324	0	34.6946815012468	inv	0	-Inf	0
induced 1 4-26	1	induced	4-26	US014	17c	17	c	0.585	0.415	RU008	21d	21	d	1	0	inv	0.415	40.1055448254808	0	nat	Inf	Inf	1
induced 1 4-27	1	induced	4-27	US014	17c	17	c	1	0	UA005	3b	3	b	0.741	0.259	nat	-0.259	0	30.5915303780107	inv	0	-Inf	0
induced 1 4-28	1	induced	4-28	US015	3k	3	k	0.546	0.454	RU008	21d	21	d	1	0	inv	0.454	42.3600856285748	0	nat	Inf	Inf	1
induced 1 4-29	1	induced	4-29	US015	3k	3	k	0.954	0.046	RO003	11e	11	e	0.842	0.158	nat	-0.112	12.384624917316	23.4211746092813	inv	0.291139240506329	-1.23395363653787	0
induced 1 4-30	1	induced	4-30	US015	3k	3	k	0.66	0.34	GR003	3g	3	g	0.899	0.101	inv	0.239	35.6680522845839	18.5299785901234	nat	3.36633663366337	1.21382510076895	1
induced 1 4-31	1	induced	4-31	US018	31a	31	a	0.877	0.123	RO004	20d	20	d	1	0	inv	0.123	20.5306864089121	0	nat	Inf	Inf	1
induced 1 4-32	1	induced	4-32	US018	31a	31	a	0.92	0.08	TR004	2b	2	b	0.592	0.408	nat	-0.328	16.4297166589607	39.6980419932288	inv	0.196078431372549	-1.62924053973028	0
induced 1 5-1	1	induced	5-1	US018	31a	31	a	0.849	0.151	GR001	26c	26	c	0.547	0.453	nat	-0.302	22.8663073222972	42.3025412275107	inv	0.333333333333333	-1.09861228866811	0
induced 1 5-2	1	induced	5-2	US020	27b	27	b	0.919	0.081	RO004	20d	20	d	0.715	0.285	nat	-0.204	16.5350133950106	32.2657809445879	inv	0.28421052631579	-1.25804002559621	0
induced 1 5-3	1	induced	5-3	US020	27b	27	b	0.715	0.285	TR004	2b	2	b	0.495	0.505	nat	-0.22	32.2657809445879	45.285867546655	inv	0.564356435643564	-0.572069249006709	0
induced 1 5-4	1	induced	5-4	US020	27b	27	b	0.774	0.226	GR002	2j	2	j	0.948	0.052		0.174	28.3846575607825	13.1812372054198	nat	4.34615384615385	1.46929128069086	1
induced 1 5-5	1	induced	5-5	US022	42k	42	k	0.651	0.349	GR002	2j	2	j	0.815	0.185	inv	0.164	36.2106236286103	25.4745921436024	nat	1.88648648648649	0.634716097124102	1
induced 1 5-6	1	induced	5-6	US022	42k	42	k	0.772	0.228	RU005	11e	11	e	0.995	0.005	inv	0.223	28.5214351630874	4.05475206206153	nat	45.6	3.81990771652034	1
induced 1 5-7	1	induced	5-7	US022	42k	42	k	0.685	0.315	RO005	25f	25	f	0.835	0.165	inv	0.15	34.1417268514696	23.9661415332867	nat	1.90909090909091	0.646627164925052	1
induced 1 5-8	1	induced	5-8	US026	24c	24	c	0.589	0.411	RU005	11e	11	e	0.96	0.04	inv	0.371	39.8728139789976	11.536802071682	nat	10.275	2.3297137603823	1
induced 1 5-9	1	induced	5-9	US026	24c	24	c	0.996	0.004	UA001	22c	22	c	1	0		0.004	3.62607409886713	0	nat	Inf	Inf	1
induced 1 5-10	1	induced	5-10	US026	24c	24	c	0.769	0.231	UA004	5a	5	a	0.975	0.025	inv	0.206	28.725812332845	9.09731239812886	nat	9.24	2.22354188565359	1
induced 1 5-11	1	induced	5-11	US021	8d	8	d	0.892	0.108	TR001	24i	24	i	0.524	0.476	nat	-0.368	19.1855965485961	43.6237791929226	inv	0.226890756302521	-1.4832866271072	0
induced 1 5-12	1	induced	5-12	US021	8d	8	d	0.885	0.115	RO005	15c	15	c	0.949	0.051	inv	0.064	19.8227858794312	13.0516179885977	nat	2.25490196078431	0.813106495638924	1
induced 1 5-13	1	induced	5-13	US021	8d	8	d	0.617	0.383	GR003	10b	10	b	0.936	0.064	inv	0.319	38.2331380599945	14.6538552483261	nat	5.984375	1.78915190582097	1
induced 1 5-14	1	induced	5-14	US023	34a	34	a	0.662	0.338	RO002	12o	12	o	0.81	0.19	inv	0.148	35.5470157223529	25.8415811818669	nat	1.77894736842105	0.576021823322533	1
induced 1 5-15	1	induced	5-15	US023	34a	34	a	0.978	0.022	UA004	18b	18	b	0.644	0.356	nat	-0.334	8.52969457975639	36.6303732537448	inv	0.0617977528089888	-2.78388827749371	0
induced 1 5-16	1	induced	5-16	US023	34a	34	a	0.858	0.142	RU003	3b	3	b	0.498	0.502	nat	-0.36	22.1370923992624	45.1139780774323	inv	0.282868525896414	-1.26277306209047	0
induced 2 5-17	2	induced	5-17	CA001	2e	2	e	0.979	0.021	TR004	14h	14	h	0.907	0.093		-0.072	8.33217232558079	17.7554565192381	inv	0.225806451612903	-1.48807705542983	0
induced 2 5-18	2	induced	5-18	CA001	2e	2	e	0.746	0.254	UA004	18i	18	i	0.794	0.206	inv	0.048	30.2635278838286	26.9920276580242	nat	1.23300970873786	0.209458098228956	1
induced 2 5-19	2	induced	5-19	CA001	2e	2	e	0.541	0.459	RO005	14h	14	h	0.995	0.005	inv	0.454	42.6476522217883	4.05475206206153	nat	91.8	4.51961229762644	1
induced 2 5-20	2	induced	5-20	US001	3j	3	j	1	0	RO001	28g	28	g	0.699	0.301	nat	-0.301	0	33.2729432035122	inv	0	-Inf	0
