Rack	Pos	PopID	Mom	Indiv	Origin	Trt	Wilt	TotWilt	Death	Note	ID	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log
US022.17.i	1	49	US022	17	i	inv	drought	1	3	12		US022.17.i	10	12.6	4.2	3.16227766016838	2.53369681395743	1.43508452528932
RU004.7.f	1	50	RU004	7	f	nat	drought	1	3	8		RU004.7.f	NA	NA	NA	NA	NA	NA
US022.41.b	17	2	US022	41	b	inv	drought	1	3	8		US022.41.b	14	14.3	3.1	3.74165738677394	2.66025953726586	1.1314021114911
RO005.17.a	17	3	RO005	17	a	nat	drought	5	8	17		RO005.17.a	8	8.3	2.6	2.82842712474619	2.11625551480255	0.955511445027436
GR003.17.g	17	5	GR003	17	g	nat	drought	3	6	12		GR003.17.g	8	16.4	2.2	2.82842712474619	2.79728133483015	0.78845736036427
RO004.3.b	17	6	RO004	3	b	nat	drought	2	4	12		RO004.3.b	12	15	3.5	3.46410161513775	2.70805020110221	1.25276296849537
RU005.3.b	17	8	RU005	3	b	nat	drought	1	3	6		RU005.3.b	12	12.3	3.2	3.46410161513775	2.50959926237837	1.16315080980568
US020.12.c	17	10	US020	12	c	inv	drought	3	4	14		US020.12.c	11	13.1	3	3.3166247903554	2.57261223020711	1.09861228866811
UA006.24.a	17	11	UA006	24	a	nat	drought	3	6	12		UA006.24.a	9	13.4	2.2	3	2.59525470695687	0.78845736036427
TR003.15.f	17	13	TR003	15	f	nat	drought	5	8	15		TR003.15.f	9	18.5	2.8	3	2.91777073208428	1.02961941718116
RO003.21.c	17	14	RO003	21	c	nat	drought	4	6	13		RO003.21.c	9	17.8	4	3	2.87919845729804	1.38629436111989
UA002.14.b	17	15	UA002	14	b	nat	drought	1	3	8		UA002.14.b	13	15.7	3.6	3.60555127546399	2.75366071235426	1.28093384546206
CA008.4.d	17	16	CA008	4	d	inv	drought	3	6	12		CA008.4.d	12	12.7	3.6	3.46410161513775	2.54160199346455	1.28093384546206
CA001.7.j	17	17	CA001	7	j	inv	drought	2	5	11		CA001.7.j	10	17.4	4.7	3.16227766016838	2.85647020622048	1.54756250871601
RO001.21.b	17	20	RO001	21	b	nat	drought	5	8	12		RO001.21.b	5	8	1.2	2.23606797749979	2.07944154167984	0.182321556793955
UA001.11.b	17	22	UA001	11	b	nat	drought	5	6	13		UA001.11.b	10	11.7	3.4	3.16227766016838	2.45958884180371	1.22377543162212
US015.15.h	17	24	US015	15	h	inv	drought	3	5	12		US015.15.h	11	13.5	3.3	3.3166247903554	2.60268968544438	1.19392246847243
US003.6.d	17	25	US003	6	d	inv	drought	5	7	12		US003.6.d	9	14.6	4	3	2.68102152871429	1.38629436111989
US014.17.i	17	27	US014	17	i	inv	drought	5	9	14		US014.17.i	6	12.3	2.4	2.44948974278318	2.50959926237837	0.8754687373539
HU001.14.m	17	28	HU001	14	m	nat	drought	3	6	12		HU001.14.m	9	17	4.1	3	2.83321334405622	1.41098697371026
US002.22.j	17	29	US002	22	j	inv	drought	1	3	12		US002.22.j	17	14.7	3.4	4.12310562561766	2.68784749378469	1.22377543162212
US026.24.h	17	31	US026	24	h	inv	drought	7	10	16		US026.24.h	3	9.1	1.7	1.73205080756888	2.2082744135228	0.53062825106217
US012.28.a	17	35	US012	28	a	inv	drought	3	6	12		US012.28.a	7	15.7	3.5	2.64575131106459	2.75366071235426	1.25276296849537
RU002.5.b	17	36	RU002	5	b	nat	drought	3	6	11		RU002.5.b	11	13.4	3.3	3.3166247903554	2.59525470695687	1.19392246847243
UA004.27.d	17	38	UA004	27	d	nat	drought	1	3	11		UA004.27.d	18	14.6	3.2	4.24264068711928	2.68102152871429	1.16315080980568
UA003.8.f	17	39	UA003	8	f	nat	drought	8	10	13		UA003.8.f	7	12.9	1.6	2.64575131106459	2.55722731136763	0.470003629245736
US001.22.f	17	41	US001	22	f	inv	drought	1	3	7		US001.22.f	10	13.7	2.7	3.16227766016838	2.61739583283408	0.993251773010283
TR001.10.i	17	43	TR001	10	i	nat	drought	1	4	15		TR001.10.i	7	18.6	4.3	2.64575131106459	2.92316158071916	1.45861502269952
GR002.25.e	17	44	GR002	25	e	nat	drought	1	3	12		GR002.25.e	11	11.8	2.3	3.3166247903554	2.46809953147162	0.832909122935104
TR005.18.n	17	45	TR005	18	n	nat	drought	5	7	16		TR005.18.n	7	7.9	2	2.64575131106459	2.06686275947298	0.693147180559945
GR001.14.f	17	46	GR001	14	f	nat	drought	2	4	12		GR001.14.f	10	14.8	3	3.16227766016838	2.69462718077007	1.09861228866811
BG001.16.h	17	48	BG001	16	h	nat	drought	2	4	16		BG001.16.h	14	13.2	4.1	3.74165738677394	2.58021682959233	1.41098697371026
RO002.13.a	17	49	RO002	13	a	nat	drought	8	11	16		RO002.13.a	6	8.4	1.3	2.44948974278318	2.12823170584927	0.262364264467491
RU008.19.c	17	50	RU008	19	c	nat	drought	2	4	7		RU008.19.c	12	10.1	2.5	3.46410161513775	2.31253542384721	0.916290731874155
US002.17.f	19	2	US002	17	f	inv	drought	1	3	9		US002.17.f	12	15	2.9	3.46410161513775	2.70805020110221	1.06471073699243
US023.34.c	19	3	US023	34	c	inv	drought	1	3	10		US023.34.c	9	13.2	3.9	3	2.58021682959233	1.3609765531356
UA008.18.g	19	4	UA008	18	g	nat	drought	6	8	15		UA008.18.g	6	11	2.1	2.44948974278318	2.39789527279837	0.741937344729377
US015.15.a	19	5	US015	15	a	inv	drought	1	4	12		US015.15.a	11	14.7	1.9	3.3166247903554	2.68784749378469	0.641853886172395
RO003.15.f	19	8	RO003	15	f	nat	drought	2	4	12		RO003.15.f	12	12.1	2.7	3.46410161513775	2.4932054526027	0.993251773010283
RO004.3.c	19	9	RO004	3	c	nat	drought	2	4	12		RO004.3.c	11	13.3	2.6	3.3166247903554	2.58776403522771	0.955511445027436
RO005.15.b	19	10	RO005	15	b	nat	drought	3	5	12		RO005.15.b	9	13	2.5	3	2.56494935746154	0.916290731874155
UA004.7.c	19	11	UA004	7	c	nat	drought	1	4	12		UA004.7.c	13	13.8	4.6	3.60555127546399	2.62466859216316	1.52605630349505
RO001.21.j	19	13	RO001	21	j	nat	drought	5	7	12		RO001.21.j	10	11.4	2.1	3.16227766016838	2.43361335540045	0.741937344729377
TR001.24.b	19	14	TR001	24	b	nat	drought	5	8	16		TR001.24.b	6	15.8	2.7	2.44948974278318	2.76000994003292	0.993251773010283
UA003.7A.b	19	16	UA003	7A	b	nat	drought	3	5	14		UA003.7A.b	11	15.5	4.2	3.3166247903554	2.7408400239252	1.43508452528932
CA001.3.d	19	19	CA001	3	d	inv	drought	3	4	11		CA001.3.d	13	15.1	3.9	3.60555127546399	2.71469474382088	1.3609765531356
US026.24.b	19	21	US026	24	b	inv	drought	5	8	15		US026.24.b	5	11.5	1.3	2.23606797749979	2.4423470353692	0.262364264467491
RU001.2.c	19	23	RU001	2	c	nat	drought	2	4	12		RU001.2.c	12	10	3.6	3.46410161513775	2.30258509299405	1.28093384546206
UA002.18.b	19	26	UA002	18	b	nat	drought	3	4	12		UA002.18.b	10	17.4	4.2	3.16227766016838	2.85647020622048	1.43508452528932
CA008.4.a	19	27	CA008	4	a	inv	drought	2	4	12		CA008.4.a	13	14.5	2.5	3.60555127546399	2.67414864942653	0.916290731874155
RU008.18.j	19	28	RU008	18	j	nat	drought	2	4	10		RU008.18.j	11	13	2.9	3.3166247903554	2.56494935746154	1.06471073699243
HU001.24.k	19	30	HU001	24	k	nat	drought	3	5	12		HU001.24.k	12	17.2	4	3.46410161513775	2.84490938381941	1.38629436111989
US014.17.e	19	32	US014	17	e	inv	drought	3	6	11		US014.17.e	7	14.6	3.2	2.64575131106459	2.68102152871429	1.16315080980568
GR003.10.h	19	34	GR003	10	h	nat	drought	3	6	13		GR003.10.h	7	15.3	3.5	2.64575131106459	2.72785282839839	1.25276296849537
TR003.24.a	19	35	TR003	24	a	nat	drought	7	10	20		TR003.24.a	7	7.6	2.6	2.64575131106459	2.02814824729229	0.955511445027436
US003.6.c	19	36	US003	6	c	inv	drought	2	4	12		US003.6.c	10	13.9	2.2	3.16227766016838	2.63188884013665	0.78845736036427
UA005.7.c	19	38	UA005	7	c	nat	drought	1	4	7		UA005.7.c	9	16	4.5	3	2.77258872223978	1.50407739677627
UA001.18.g	19	39	UA001	18	g	nat	drought	3	5	12		UA001.18.g	11	14	4.6	3.3166247903554	2.63905732961526	1.52605630349505
BG001.25.d	19	40	BG001	25	d	nat	drought	1	4	13		BG001.25.d	12	12.1	3.2	3.46410161513775	2.4932054526027	1.16315080980568
UA007.19.c	19	42	UA007	19	c	nat	drought	NA	NA	NA		UA007.19.c	4	8.5	1	2	2.14006616349627	0
US001.22.i	19	46	US001	22	i	inv	drought	1	3	6		US001.22.i	12	10.8	2.3	3.46410161513775	2.37954613413017	0.832909122935104
RO002.22.g	19	47	RO002	22	g	nat	drought	1	3	12		RO002.22.g	10	12.4	2.4	3.16227766016838	2.51769647261099	0.8754687373539
CA007.2.c	19	48	CA007	2	c	inv	drought	1	3	11		CA007.2.c	13	10.1	2.1	3.60555127546399	2.31253542384721	0.741937344729377
RO004.21.b	37	1	RO004	21	b	nat	drought	4	6	12		RO004.21.b	11	13	3	3.3166247903554	2.56494935746154	1.09861228866811
RO003.9.b	37	4	RO003	9	b	nat	drought	3	6	12		RO003.9.b	10	17	4	3.16227766016838	2.83321334405622	1.38629436111989
US015.17.l	37	7	US015	17	l	inv	drought	4	7	13		US015.17.l	5	12.5	4	2.23606797749979	2.52572864430826	1.38629436111989
GR001.14.j	37	8	GR001	14	j	nat	drought	3	6	12		GR001.14.j	7	15.5	3	2.64575131106459	2.7408400239252	1.09861228866811
RU008.16.g	37	9	RU008	16	g	nat	drought	3	6	11		RU008.16.g	13	12.5	3	3.60555127546399	2.52572864430826	1.09861228866811
HU001.24.e	37	10	HU001	24	e	nat	drought	3	6	8		HU001.24.e	10	20.5	2	3.16227766016838	3.02042488614436	0.693147180559945
US001.14.e	37	12	US001	14	e	inv	drought	2	5	11		US001.14.e	11	13.5	4	3.3166247903554	2.60268968544438	1.38629436111989
UA008.13.f	37	14	UA008	13	f	nat	drought	5	9	12		UA008.13.f	7	11	3.5	2.64575131106459	2.39789527279837	1.25276296849537
RO002.12.k	37	15	RO002	12	k	nat	drought	5	10	13		RO002.12.k	7	10.5	2	2.64575131106459	2.35137525716348	0.693147180559945
RO005.15.e	37	16	RO005	15	e	nat	drought	6	7	16		RO005.15.e	7	12	1.5	2.64575131106459	2.484906649788	0.405465108108164
CA008.5.e	37	17	CA008	5	e	inv	drought	3	5	14		CA008.5.e	12	15	4.5	3.46410161513775	2.70805020110221	1.50407739677627
TR004.18.c	37	19	TR004	18	c	nat	drought	4	7	17		TR004.18.c	8	13.5	4	2.82842712474619	2.60268968544438	1.38629436111989
US014.16.n	37	20	US014	16	n	inv	drought	3	6	13		US014.16.n	8	12	2.5	2.82842712474619	2.484906649788	0.916290731874155
US003.27.i	37	21	US003	27	i	inv	drought	2	4	8		US003.27.i	13	13	3	3.60555127546399	2.56494935746154	1.09861228866811
RU003.7.d	37	25	RU003	7	d	nat	drought	3	7	13		RU003.7.d	15	13	3	3.87298334620742	2.56494935746154	1.09861228866811
GR002.25.c	37	26	GR002	25	c	nat	drought	6	8	18		GR002.25.c	7	18	2	2.64575131106459	2.89037175789616	0.693147180559945
RO001.6.f	37	27	RO001	6	f	nat	drought	3	4	13		RO001.6.f	12	20	3.5	3.46410161513775	2.99573227355399	1.25276296849537
UA002.14.c	37	28	UA002	14	c	nat	drought	4	6	12		UA002.14.c	9	16	4.5	3	2.77258872223978	1.50407739677627
TR001.12.j	37	29	TR001	12	j	nat	drought	1	4	12		TR001.12.j	12	18	4.5	3.46410161513775	2.89037175789616	1.50407739677627
US022.42.j	37	30	US022	42	j	inv	drought	3	6	13		US022.42.j	9	16.5	3	3	2.80336038090653	1.09861228866811
TR005.20.f	37	33	TR005	20	f	nat	drought	3	7	16		TR005.20.f	NA	NA	NA	NA	NA	NA
CA001.2.g	37	35	CA001	2	g	inv	drought	4	6	11		CA001.2.g	9	15.5	4	3	2.7408400239252	1.38629436111989
BG001.22.e	37	36	BG001	22	e	nat	drought	5	7	12		BG001.22.e	13	12	1	3.60555127546399	2.484906649788	0
TR003.15.a	37	38	TR003	15	a	nat	drought	5	8	18		TR003.15.a	7	18.5	4.5	2.64575131106459	2.91777073208428	1.50407739677627
UA004.27.a	37	39	UA004	27	a	nat	drought	3	4	8		UA004.27.a	13	15.5	3.5	3.60555127546399	2.7408400239252	1.25276296849537
RU005.3.c	37	40	RU005	3	c	nat	drought	4	7	16		RU005.3.c	8	7	1.5	2.82842712474619	1.94591014905531	0.405465108108164
GR003.9.b	37	42	GR003	9	b	nat	drought	3	7	12		GR003.9.b	10	12	2	3.16227766016838	2.484906649788	0.693147180559945
RU001.7.j	37	43	RU001	7	j	nat	drought	3	7	13		RU001.7.j	9	11	2	3	2.39789527279837	0.693147180559945
UA003.6.a	37	44	UA003	6	a	nat	drought	3	5	14		UA003.6.a	11	11.5	2	3.3166247903554	2.4423470353692	0.693147180559945
UA005.18.f	37	46	UA005	18	f	nat	drought	3	4	11		UA005.18.f	12	18.5	3	3.46410161513775	2.91777073208428	1.09861228866811
US002.24.a	37	50	US002	24	a	inv	drought	4	5	11		US002.24.a	13	13	3.5	3.60555127546399	2.56494935746154	1.25276296849537
RU003.4.e	46	2	RU003	4	e	nat	drought	5	9	12		RU003.4.e	8	14.6	2.3	2.82842712474619	2.68102152871429	0.832909122935104
UA001.25.d	46	3	UA001	25	d	nat	drought	4	6	12		UA001.25.d	NA	NA	NA	NA	NA	NA
GR001.14.g	46	5	GR001	14	g	nat	drought	4	6	12		GR001.14.g	11	16	3	3.3166247903554	2.77258872223978	1.09861228866811
HU001.5.g	46	9	HU001	5	g	nat	drought	7	12	13		HU001.5.g	6	11.5	1.6	2.44948974278318	2.4423470353692	0.470003629245736
RO004.20.j	46	10	RO004	20	j	nat	drought	4	7	12		RO004.20.j	11	10.1	3.1	3.3166247903554	2.31253542384721	1.1314021114911
RO005.25.j	46	13	RO005	25	j	nat	drought	3	9	12		RO005.25.j	8	10.9	2.8	2.82842712474619	2.3887627892351	1.02961941718116
UA004.18.g	46	14	UA004	18	g	nat	drought	4	7	12		UA004.18.g	11	15	4.2	3.3166247903554	2.70805020110221	1.43508452528932
US012.31.e	46	17	US012	31	e	inv	drought	3	7	13		US012.31.e	7	11.6	3	2.64575131106459	2.45100509811232	1.09861228866811
US015.13.i	46	20	US015	13	i	inv	drought	2	8	12		US015.13.i	8	13.4	3.6	2.82842712474619	2.59525470695687	1.28093384546206
RU005.11.c	46	21	RU005	11	c	nat	drought	4	5	12		RU005.11.c	13	11.8	2.3	3.60555127546399	2.46809953147162	0.832909122935104
TR001.24.g	46	22	TR001	24	g	nat	drought	5	7	13		TR001.24.g	9	17.5	3.7	3	2.86220088092947	1.30833281965018
RU001.6.e	46	23	RU001	6	e	nat	drought	5	6	12		RU001.6.e	12	17	4.8	3.46410161513775	2.83321334405622	1.56861591791385
TR003.14.a	46	24	TR003	14	a	nat	drought	11	14	20		TR003.14.a	8	8.3	1.6	2.82842712474619	2.11625551480255	0.470003629245736
RO001.12.c	46	26	RO001	12	c	nat	drought	5	9	14		RO001.12.c	7	15.5	3.2	2.64575131106459	2.7408400239252	1.16315080980568
CA001.7.f	46	27	CA001	7	f	inv	drought	5	6	15		CA001.7.f	9	14.7	4.2	3	2.68784749378469	1.43508452528932
RU004.10.c	46	29	RU004	10	c	nat	drought	3	8	13		RU004.10.c	8	15	3.7	2.82842712474619	2.70805020110221	1.30833281965018
US018.11.b	46	30	US018	11	b	inv	drought	4	8	14		US018.11.b	6	11.2	3.2	2.44948974278318	2.41591377830105	1.16315080980568
GR003.3.f	46	32	GR003	3	f	nat	drought	5	8	12		GR003.3.f	10	14.5	2.1	3.16227766016838	2.67414864942653	0.741937344729377
RO003.4.a	46	33	RO003	4	a	nat	drought	3	5	13		RO003.4.a	12	16	3.2	3.46410161513775	2.77258872223978	1.16315080980568
US014.22.j	46	34	US014	22	j	inv	drought	4	7	13		US014.22.j	10	16.3	4.5	3.16227766016838	2.79116510781272	1.50407739677627
GR002.17.e	46	35	GR002	17	e	nat	drought	4	7	13		GR002.17.e	10	15.4	2.4	3.16227766016838	2.73436750941958	0.8754687373539
RU008.19.f	46	36	RU008	19	f	nat	drought	3	5	12		RU008.19.f	14	15	3.3	3.74165738677394	2.70805020110221	1.19392246847243
RU002.2.b	46	37	RU002	2	b	nat	drought	8	11	16		RU002.2.b	5	11	1.3	2.23606797749979	2.39789527279837	0.262364264467491
RO002.13.e	46	38	RO002	13	e	nat	drought	5	6	16		RO002.13.e	9	11.6	2.6	3	2.45100509811232	0.955511445027436
US022.17.g	46	39	US022	17	g	inv	drought	3	5	11		US022.17.g	9	15.3	2.4	3	2.72785282839839	0.8754687373539
UA005.13.a	46	40	UA005	13	a	nat	drought	2	4	9		UA005.13.a	10	17.5	3.2	3.16227766016838	2.86220088092947	1.16315080980568
UA008.25.d	46	42	UA008	25	d	nat	drought	5	9	12		UA008.25.d	NA	NA	NA	NA	NA	NA
BG001.17.h	46	43	BG001	17	h	nat	drought	5	7	12		BG001.17.h	12	12	1.8	3.46410161513775	2.484906649788	0.587786664902119
UA003.6.b	46	44	UA003	6	b	nat	drought	1	3	4		UA003.6.b	12	15.6	3.6	3.46410161513775	2.74727091425549	1.28093384546206
US002.5.i	46	47	US002	5	i	inv	drought	3	5	12		US002.5.i	10	12.2	3.4	3.16227766016838	2.50143595173921	1.22377543162212
US003.27.h	46	48	US003	27	h	inv	drought	1	3	11		US003.27.h	9	14.8	4.2	3	2.69462718077007	1.43508452528932
US001.23.d	46	50	US001	23	d	inv	drought	1	3	12		US001.23.d	12	14.3	4.1	3.46410161513775	2.66025953726586	1.41098697371026
GR001.26.b	48	1	GR001	26	b	nat	drought	3	6	11		GR001.26.b	10	13.6	3.1	3.16227766016838	2.61006979274201	1.1314021114911
US003.27.f	48	3	US003	27	f	inv	drought	3	6	11		US003.27.f	10	17.2	5.3	3.16227766016838	2.84490938381941	1.66770682055808
UA003.7A.j	48	4	UA003	7A	j	nat	drought	3	4	12		UA003.7A.j	9	17.7	6.1	3	2.87356463957978	1.80828877117927
TR001.24.f	48	5	TR001	24	f	nat	drought	6	10	14		TR001.24.f	8	14	3.1	2.82842712474619	2.63905732961526	1.1314021114911
UA004.7.b	48	7	UA004	7	b	nat	drought	2	5	11		UA004.7.b	15	17.4	6	3.87298334620742	2.85647020622048	1.79175946922805
UA002.14.a	48	8	UA002	15	c	nat	drought	4	6	13		UA002.14.a	13	16.5	4.2	3.60555127546399	2.80336038090653	1.43508452528932
US015.13.c	48	9	US015	13	c	inv	drought	4	7	15		US015.13.c	9	15.7	3.2	3	2.75366071235426	1.16315080980568
RU004.5.c	48	10	RU004	5	c	nat	drought	5	6	16		RU004.5.c	NA	NA	NA	NA	NA	NA
TR005.18.i	48	11	TR005	18	i	nat	drought	5	8	20		TR005.18.i	8	9.6	1.8	2.82842712474619	2.26176309847379	0.587786664902119
US022.23.c	48	12	US022	23	c	inv	drought	5	7	13		US022.23.c	10	12	2.3	3.16227766016838	2.484906649788	0.832909122935104
US002.22.g	48	13	US002	22	g	inv	drought	2	3	12		US002.22.g	13	16.8	3.9	3.60555127546399	2.82137888640921	1.3609765531356
TR004.8.c	48	14	TR004	8	c	nat	drought	3	4	14		TR004.8.c	10	17	5	3.16227766016838	2.83321334405622	1.6094379124341
RO001.12.g	48	18	RO001	12	g	nat	drought	3	7	17		RO001.12.g	8	19	5.6	2.82842712474619	2.94443897916644	1.7227665977411
RU001.10.c	48	19	RU001	10	c	nat	drought	7	10	16		RU001.10.c	8	12	3.7	2.82842712474619	2.484906649788	1.30833281965018
RU005.6.h	48	22	RU005	6	h	nat	drought	3	4	12		RU005.6.h	9	13.2	4	3	2.58021682959233	1.38629436111989
US021.8.h	48	25	US021	8	h	inv	drought	3	6	16		US021.8.h	12	14.6	5	3.46410161513775	2.68102152871429	1.6094379124341
RU008.17.h	48	27	RU008	17	h	nat	drought	5	8	14		RU008.17.h	12	13.8	3.6	3.46410161513775	2.62466859216316	1.28093384546206
CA001.3.e	48	28	CA001	3	e	inv	drought	2	6	12		CA001.3.e	11	15.4	4.6	3.3166247903554	2.73436750941958	1.52605630349505
RO005.23.e	48	30	RO005	23	e	nat	drought	3	7	13		RO005.23.e	11	17	5.6	3.3166247903554	2.83321334405622	1.7227665977411
US011.8.e	48	31	US011	8	e	inv	drought	3	5	10		US011.8.e	9	11.8	3.2	3	2.46809953147162	1.16315080980568
RO004.20.e	48	34	RO004	20	e	nat	drought	4	7	13		RO004.20.e	14	12	3	3.74165738677394	2.484906649788	1.09861228866811
US014.17.d	48	35	US014	17	d	inv	drought	4	7	16		US014.17.d	7	14.5	2.6	2.64575131106459	2.67414864942653	0.955511445027436
BG001.29.i	48	36	BG001	29	i	nat	drought	3	6	12		BG001.29.i	13	13.9	2.9	3.60555127546399	2.63188884013665	1.06471073699243
RO002.13.b	48	37	RO002	13	b	nat	drought	5	6	12		RO002.13.b	10	12.1	2.5	3.16227766016838	2.4932054526027	0.916290731874155
HU001.24.c	48	38	HU001	24	c	nat	drought	3	5	12		HU001.24.c	8	17.2	5	2.82842712474619	2.84490938381941	1.6094379124341
GR002.13.h	48	39	GR002	13	h	nat	drought	3	4	12		GR002.13.h	10	18.2	5.2	3.16227766016838	2.90142159408275	1.64865862558738
US001.14.i	48	40	US001	14	i	inv	drought	3	6	16		US001.14.i	13	12.5	4.3	3.60555127546399	2.52572864430826	1.45861502269952
RO003.11.i	48	41	RO003	11	i	nat	drought	3	5	11		RO003.11.i	7	11.2	2.1	2.64575131106459	2.41591377830105	0.741937344729377
RU002.1.e	48	43	RU002	1	e	nat	drought	3	4	6		RU002.1.e	14	9	2.6	3.74165738677394	2.19722457733622	0.955511445027436
GR003.9.g	48	47	GR003	9	g	nat	drought	3	4	8		GR003.9.g	8	14.5	3.1	2.82842712474619	2.67414864942653	1.1314021114911
US023.41.a	48	50	US023	41	a	inv	drought	1	3	6		US023.41.a	NA	NA	NA	NA	NA	NA
TR003.15.b	50	2	TR003	15	b	nat	drought	10	11	21		TR003.15.b	8	11.1	2.1	2.82842712474619	2.40694510831829	0.741937344729377
US018.11.d	50	3	US018	11	d	inv	drought	4	7	11		US018.11.d	13	13.2	4.1	3.60555127546399	2.58021682959233	1.41098697371026
